datetime,duration,protocol,src,src_port,dst,dst_port,src_bytes,dst_bytes,count,srv_count
04/16-05:53:06.610, 0:00:00.000180, TCP, 9.246.85.82, 78, 192.168.136.128, 135, 0, 0.,174,174
04/16-05:53:06.611, 0:00:00.000196, TCP, 9.246.85.82, 55558, 192.168.136.128, 135, 0, 0.,175,175
04/16-05:53:06.612, 0:00:00.000190, TCP, 9.246.85.82, 19908, 192.168.136.128, 135, 0, 0.,176,176
04/16-05:53:06.613, 0:00:00.000186, TCP, 9.246.85.82, 45925, 192.168.136.128, 135, 0, 0.,178,178
04/16-05:53:06.613, 0:00:00.000189, TCP, 9.246.85.82, 62441, 192.168.136.128, 135, 0, 0.,178,178
04/16-05:53:06.614, 0:00:00.000191, TCP, 9.246.85.82, 28273, 192.168.136.128, 135, 0, 0.,179,179
04/16-05:53:06.615, 0:00:00.000179, TCP, 9.246.85.82, 47183, 192.168.136.128, 135, 0, 0.,180,180
04/16-05:53:06.616, 0:00:00.000180, TCP, 9.246.85.82, 58597, 192.168.136.128, 135, 0, 0.,181,181
04/16-05:53:06.617, 0:00:00.000183, TCP, 9.246.85.82, 61263, 192.168.136.128, 135, 0, 0.,182,182
04/16-05:53:06.618, 0:00:00.000172, TCP, 9.246.85.82, 34493, 192.168.136.128, 135, 0, 0.,184,184
04/16-05:53:06.618, 0:00:00.000181, TCP, 9.246.85.82, 1967, 192.168.136.128, 135, 0, 0.,184,184
04/16-05:53:06.619, 0:00:00.000191, TCP, 9.246.85.82, 40442, 192.168.136.128, 135, 0, 0.,185,185
04/16-05:53:06.620, 0:00:00.000186, TCP, 9.246.85.82, 59422, 192.168.136.128, 135, 0, 0.,186,186
04/16-05:53:06.621, 0:00:00.000208, TCP, 9.246.85.82, 36321, 192.168.136.128, 135, 0, 0.,187,187
04/16-05:53:06.622, 0:00:00.000177, TCP, 9.246.85.82, 59047, 192.168.136.128, 135, 0, 0.,189,189
04/16-05:53:06.622, 0:00:00.000178, TCP, 9.246.85.82, 37495, 192.168.136.128, 135, 0, 0.,189,189
04/16-05:53:06.623, 0:00:00.000212, TCP, 9.246.85.82, 36878, 192.168.136.128, 135, 0, 0.,190,190
04/16-05:53:06.625, 0:00:00.000217, TCP, 9.246.85.82, 2517, 192.168.136.128, 135, 0, 0.,192,192
04/16-05:53:06.625, 0:00:00.000227, TCP, 9.246.85.82, 13229, 192.168.136.128, 135, 0, 0.,192,192
04/16-05:53:06.626, 0:00:00.000115, TCP, 9.246.85.82, 18558, 192.168.136.128, 135, 0, 0.,193,193
04/16-05:53:06.627, 0:00:00.000135, TCP, 9.246.85.82, 9875, 192.168.136.128, 135, 0, 0.,194,194
04/16-05:53:06.628, 0:00:00.000128, TCP, 9.246.85.82, 6405, 192.168.136.128, 135, 0, 0.,195,195
04/16-05:53:06.629, 0:00:00.000208, TCP, 9.246.85.82, 61819, 192.168.136.128, 135, 0, 0.,196,196
04/16-05:53:06.630, 0:00:00.000135, TCP, 9.246.85.82, 26811, 192.168.136.128, 135, 0, 0.,198,198
04/16-05:53:06.630, 0:00:00.000157, TCP, 9.246.85.82, 26737, 192.168.136.128, 135, 0, 0.,198,198
04/16-05:53:06.631, 0:00:00.000139, TCP, 9.246.85.82, 37776, 192.168.136.128, 135, 0, 0.,199,199
04/16-05:53:06.632, 0:00:00.000118, TCP, 9.246.85.82, 14782, 192.168.136.128, 135, 0, 0.,200,200
04/16-05:53:06.633, 0:00:00.000250, TCP, 9.246.85.82, 42063, 192.168.136.128, 135, 0, 0.,202,202
04/16-05:53:06.633, 0:00:00.000210, TCP, 9.246.85.82, 50527, 192.168.136.128, 135, 0, 0.,202,202
04/16-05:53:06.634, 0:00:00.000204, TCP, 9.246.85.82, 63279, 192.168.136.128, 135, 0, 0.,203,203
